Prediction_Id	status	act_status
914	no data	
915	known	
916	known	
917	known_chembl	
918	known	
919	known	
920	inactive	
921	no data	
922	no data	
923	no data	
924	no data	
925	known	
926	known_chembl	
927	known	
928	known	
929	inactive	
930	inactive	
931	no data	
932	confirmed	>10uM
933	inactive	
934	known_chembl	
935	confirmed	1uM
936	no data	
937	no data	
938	no data	
939	confirmed	1uM
940	known	
941	known	
942	known_chembl	
943	known_chembl	
944	inactive	
945	known	
946	known_chembl	
947	no data	
948	inactive	
949	known	
950	inactive	
951	inactive	
952	inactive	
953	known_chembl	
954	known	
955	known_chembl	
956	known_chembl	
957	inactive	
958	no data	
959	no data	
960	no data	
961	known	
962	known_chembl	
963	confirmed	1uM
964	inactive	
965	inactive	
966	known_chembl	
967	no data	
968	known	
969	inactive	
970	inactive	
971	known	
972	confirmed	10uM
973	known	
974	known	
975	known	
976	inactive	
977	known	
978	known_chembl	
979	known_chembl	
980	known_chembl	
981	inactive	
982	known_chembl	
983	inactive	
984	known_chembl	
985	confirmed	10uM
986	inactive	
987	no data	
988	known_chembl	
989	no data	
990	confirmed	1uM
991	known	
992	inactive	
993	inactive	
994	known	
995	no data	
996	inactive	
997	inactive	
998	known	
999	no data	
1000	inactive	
1001	no data	
1002	no data	
1003	no data	
1004	no data	
1005	no data	
1006	no data	
1007	confirmed	10uM
1008	known_chembl	
1009	known_chembl	
1010	known	
1011	inactive	
1012	inactive	
1013	inactive	
1014	inactive	
1015	known_chembl	
1016	known	
1017	known_chembl	
1018	no data	
1019	known_chembl	
1020	inactive	
1021	confirmed	>10uM
1022	known	
1023	inactive	
1024	inactive	
1025	inactive	
1026	confirmed	1uM
1027	inactive	
1028	inactive	
1029	inactive	
1030	inactive	
1031	known	
1032	known_chembl	
1033	inactive	
1034	confirmed	>10uM
1035	no data	
1036	known_chembl	
1037	inactive	
1038	inactive	
1039	no data	
1040	no data	
1041	known	
1042	inactive	
1043	known_chembl	
1044	inactive	
1045	no data	
1046	known	
1047	inactive	
1048	inactive	
1049	inactive	
1050	no data	
1051	no data	
1052	inactive	
1053	inactive	
1054	known	
1055	inactive	
1056	no data	
1057	known	
1058	known_chembl	
1059	known	
1060	inactive	
1061	no data	
1062	no data	
1063	known	
1064	no data	
1065	known	
1066	inactive	
1067	known_chembl	
1068	known_chembl	
1069	known	
1070	inactive	
1071	inactive	
1072	no data	
1073	inactive	
1074	inactive	
1075	no data	
1076	no data	
1077	no data	
1078	inactive	
1079	no data	
1080	inactive	
1081	inactive	
1082	inactive	
1083	no data	
1084	known	
1085	inactive	
1086	known	
1087	known_chembl	
1088	known_chembl	
1089	known	
1090	inactive	
1091	no data	
1092	no data	
1093	inactive	
1094	known	
1095	confirmed	1uM
1096	confirmed	1uM
1097	no data	
1098	known_chembl	
1099	confirmed	1uM
1100	no data	
1101	no data	
1102	inactive	
1103	confirmed	10uM
1104	inactive	
1105	no data	
1106	inactive	
1107	known	
1108	no data	
1109	no data	
1110	no data	
1111	no data	
1112	inactive	
1113	no data	
1114	known	
1115	no data	
1116	known	
1117	confirmed	1uM
1118	no data	
1119	no data	
1120	confirmed	>10uM
1121	confirmed	>10uM
1122	inactive	
1123	no data	
1124	confirmed	10uM
1125	known_chembl	
1126	no data	
1127	confirmed	1uM
1128	no data	
1129	confirmed	1uM
1130	known	
1131	known	
1132	no data	
1133	no data	
1134	no data	
1135	known	
1136	known_chembl	
1137	known_chembl	
1138	no data	
1139	known_chembl	
1140	no data	
1141	known	
1142	no data	
1143	no data	
1144	known	
1145	inactive	
1146	no data	
1147	known	
1148	inactive	
1149	known	
1150	known	
1151	confirmed	10uM
1152	known	
1153	inactive	
1154	known_chembl	
1155	inactive	
1156	known	
1157	known	
1158	no data	
1159	inactive	
1160	known	
1161	known	
1162	known	
1163	known	
1164	known	
1165	inactive	
1166	no data	
1167	known	
1168	known	
1169	no data	
1170	no data	
1171	no data	
1172	known	
1173	confirmed	10uM
1174	no data	
1175	inactive	
1176	no data	
1177	no data	
1178	no data	
1179	no data	
1180	no data	
1181	known_chembl	
1182	no data	
1183	known	
1184	confirmed	10uM
1185	known_chembl	
1186	inactive	
1187	known	
1188	confirmed	10uM
1189	confirmed	1uM
1190	no data	
1191	known	
1192	no data	
1193	no data	
1194	known_chembl	
1195	no data	
1196	confirmed	1uM
1197	inactive	
1198	known	
1199	inactive	
1200	confirmed	10uM
1201	inactive	
1202	inactive	
1203	no data	
1204	inactive	
1205	inactive	
1206	known_chembl	
1207	no data	
1208	inactive	
1209	no data	
1210	known_chembl	
1211	known	
1212	inactive	
1213	known	
1214	known	
1215	inactive	
1216	confirmed	10uM
1217	inactive	
1218	no data	
1219	known_chembl	
1220	inactive	
1221	known_chembl	
1222	no data	
1223	known_chembl	
1224	known	
1225	known_chembl	
1226	known_chembl	
1227	inactive	
1228	no data	
1229	inactive	
1230	inactive	
1231	inactive	
1232	known_chembl	
1233	confirmed	>10uM
1234	no data	
1235	inactive	
1236	inactive	
1237	confirmed	1uM
1238	no data	
1239	known	
1240	inactive	
1241	known	
1242	known_chembl	
1243	no data	
1244	no data	
1245	known_chembl	
1246	confirmed	10uM
1247	known	
1248	known	
1249	inactive	
1250	inactive	
1251	inactive	
1252	no data	
1253	known_chembl	
